Номер варианта;ID;INCOME_BASE_TYPE;CREDIT_PURPOSE;INSURANCE_FLAG;DTI;SEX;FULL_AGE_CHILD_NUMBER;DEPENDANT_NUMBER;EDUCATION;EMPL_TYPE;EMPL_SIZE;BANKACCOUNT_FLAG;Period_at_work;age;EMPL_PROPERTY;EMPL_FORM;FAMILY_STATUS;max90days;max60days;max30days;max21days;max14days;avg_num_delay;if_zalog;num_AccountActive180;num_AccountActive90;num_AccountActive60;Active_to_All_prc;numAccountActiveAll;numAccountClosed;sum_of_paym_months;all_credits;Active_not_cc;own_closed;min_MnthAfterLoan;max_MnthAfterLoan;dlq_exist;thirty_in_a_year;sixty_in_a_year;ninety_in_a_year;thirty_vintage;sixty_vintage;ninety_vintage
14;1001094;Поступление зарплаты на счет;Ремонт;1;0.3;мужской;0;0;высшее;менеджер высшего звена;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;1001114;Форма банка (без печати работодателя);Ремонт;0;0.17;женский;1;0;высшее;менеджер высшего звена;< 50;0;47;36;Транспорт;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;1001134;Поступление зарплаты на счет;Покупка недвижимости/ строительство;1;0.46;женский;1;0;среднее-специальное;специалист;>250;0;13;44;Торговля;ОАО;разведен / разведена;0;0;0;0;0;0;0;0;0;0;0;0;3;9;3;0;0;7;86;0;0;0;0;0;0;0
14;1001154;Форма банка (без печати работодателя);Лечение;1;0.43;женский;0;0;высшее;менеджер среднего звена;>250;0;40;50;Торговля;ЗАО;холост / не замужем;0;0;0;0;0;0.2291666667;0;1;0;0;1;3;0;37;3;1;0;5;22;1;0;0;0;0;0;0
14;1001174;Форма банка (без печати работодателя);Покупка недвижимости/ строительство;0;0.31;женский;0;0;среднее-специальное;менеджер среднего звена;< 50;0;30;49;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;1001194;Форма банка (без печати работодателя);Отпуск;1;0.59;мужской;0;0;второе высшее;менеджер среднего звена;>250;0;103;32;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;1001214;2НДФЛ;Ремонт;1;0.38;женский;0;0;среднее-специальное;рабочий;>250;1;41;48;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;1001234;2НДФЛ;Покупка автомобиля;0;0.49;женский;1;0;высшее;торговый представитель;>250;3;32;30;Торговля;ООО;женат / замужем;1;0;0;0;0;0.0465116279;0;0;0;0;1;3;0;41;3;1;0;19;85;1;0;0;0;0;0;0
14;1001254;Форма банка (без печати работодателя);Лечение;1;0.46;женский;0;0;высшее;менеджер среднего звена;>250;0;14;35;Другое;ЗАО;женат / замужем;5;4;3;3;1;0;1;0;0;0;0.6153846154;8;5;231;13;4;1;6;89;0;0;0;0;0;0;0
14;1001274;Поступление зарплаты на счет;Ремонт;0;0.55;женский;1;0;высшее;специалист;>250;0;92;31;Другое;ЗАО;женат / замужем;0;0;0;0;0;0;0;0;0;0;0.6666666667;2;1;13;3;1;0;5;5;0;0;0;0;0;0;0
