Номер варианта,ID,INCOME_BASE_TYPE,CREDIT_PURPOSE,INSURANCE_FLAG,DTI,SEX,FULL_AGE_CHILD_NUMBER,DEPENDANT_NUMBER,EDUCATION,EMPL_TYPE,EMPL_SIZE,BANKACCOUNT_FLAG,Period_at_work,age,EMPL_PROPERTY,EMPL_FORM,FAMILY_STATUS,max90days,max60days,max30days,max21days,max14days,avg_num_delay,if_zalog,num_AccountActive180,num_AccountActive90,num_AccountActive60,Active_to_All_prc,numAccountActiveAll,numAccountClosed,sum_of_paym_months,all_credits,Active_not_cc,own_closed,min_MnthAfterLoan,max_MnthAfterLoan,dlq_exist,thirty_in_a_year,sixty_in_a_year,ninety_in_a_year,thirty_vintage,sixty_vintage,ninety_vintage,cluster
14,1000914,4,8,1.0,0.36,1,1,0,7,5,3,0.0,130.0,47.0,9,0,0,1.0,1.0,0.0,0.0,0.0,0.0147058824,0.0,0.0,0.0,0.0,0.4,2.0,3.0,62.0,5.0,1.0,0.0,9.0,65.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
14,1000934,4,4,0.0,0.26,1,1,0,4,7,3,0.0,22.0,27.0,1,0,0,1.0,1.0,0.0,0.0,0.0,0.0147058824,0.0,0.0,0.0,0.0,0.4,2.0,3.0,62.0,5.0,1.0,0.0,9.0,65.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
14,1000954,2,2,1.0,0.41,1,1,0,6,1,3,0.0,161.0,40.0,2,3,3,0.0,0.0,0.0,0.0,0.0,0.2727272727,0.0,0.0,0.0,0.0,0.1666666667,1.0,5.0,64.0,6.0,1.0,1.0,9.0,106.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2
14,1000974,3,4,1.0,0.54,1,1,0,1,1,3,0.0,260.0,43.0,8,6,3,3.0,2.0,1.0,1.0,1.0,0.0657894737,1.0,0.0,0.0,0.0,0.5,4.0,4.0,142.0,8.0,1.0,1.0,17.0,109.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3
14,1000994,0,9,0.0,0.22,1,0,0,7,7,3,0.0,51.0,43.0,5,0,0,1.0,1.0,0.0,0.0,0.0,0.0147058824,0.0,0.0,0.0,0.0,0.4,2.0,3.0,62.0,5.0,1.0,0.0,9.0,65.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
14,1001014,0,9,0.0,0.2,1,0,0,4,7,1,1.0,6.0,29.0,3,3,6,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,27.0,3.0,0.0,0.0,16.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
14,1001034,2,9,0.0,0.47,1,2,0,4,9,3,0.0,6.0,35.0,2,6,3,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6666666667,2.0,1.0,37.0,3.0,2.0,1.0,11.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
14,1001054,1,8,0.0,0.4,0,0,0,1,2,8,0.0,23.0,28.0,11,0,0,1.0,1.0,0.0,0.0,0.0,0.0147058824,0.0,0.0,0.0,0.0,0.4,2.0,3.0,62.0,5.0,1.0,0.0,9.0,65.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
14,1001074,0,9,0.0,0.4,1,0,0,4,7,1,1.0,63.0,26.0,2,6,6,3.0,3.0,3.0,3.0,3.0,0.0222222222,1.0,0.0,0.0,0.0,0.5,1.0,1.0,44.0,2.0,1.0,1.0,7.0,35.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
14,1001094,2,9,1.0,0.3,1,0,0,4,3,7,0.0,43.0,34.0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0147058824,0.0,0.0,0.0,0.0,0.4,2.0,3.0,62.0,5.0,1.0,0.0,9.0,65.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
14,1001114,4,9,0.0,0.17,0,1,0,4,3,1,0.0,47.0,36.0,9,0,0,1.0,1.0,0.0,0.0,0.0,0.0147058824,0.0,0.0,0.0,0.0,0.4,2.0,3.0,62.0,5.0,1.0,0.0,9.0,65.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
14,1001134,2,8,1.0,0.46,0,1,0,7,7,3,0.0,13.0,44.0,8,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,3.0,0.0,0.0,7.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
14,1001154,4,1,1.0,0.43,0,0,0,4,5,3,0.0,40.0,50.0,8,2,6,0.0,0.0,0.0,0.0,0.0,0.2291666667,0.0,1.0,0.0,0.0,1.0,3.0,0.0,37.0,3.0,1.0,0.0,5.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
14,1001174,4,8,0.0,0.31,0,0,0,7,5,1,0.0,30.0,49.0,5,0,0,1.0,1.0,0.0,0.0,0.0,0.0147058824,0.0,0.0,0.0,0.0,0.4,2.0,3.0,62.0,5.0,1.0,0.0,9.0,65.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
14,1001194,4,3,1.0,0.59,1,0,0,3,5,3,0.0,103.0,32.0,5,0,0,1.0,1.0,0.0,0.0,0.0,0.0147058824,0.0,0.0,0.0,0.0,0.4,2.0,3.0,62.0,5.0,1.0,0.0,9.0,65.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
14,1001214,0,9,1.0,0.38,0,0,0,7,6,3,1.0,41.0,48.0,5,0,0,1.0,1.0,0.0,0.0,0.0,0.0147058824,0.0,0.0,0.0,0.0,0.4,2.0,3.0,62.0,5.0,1.0,0.0,9.0,65.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
14,1001234,0,4,0.0,0.49,0,1,0,4,9,3,3.0,32.0,30.0,8,6,3,1.0,0.0,0.0,0.0,0.0,0.0465116279,0.0,0.0,0.0,0.0,1.0,3.0,0.0,41.0,3.0,1.0,0.0,19.0,85.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
14,1001254,4,1,1.0,0.46,0,0,0,4,5,3,0.0,14.0,35.0,2,2,3,5.0,4.0,3.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.6153846154,8.0,5.0,231.0,13.0,4.0,1.0,6.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
14,1001274,2,9,0.0,0.55,0,1,0,4,7,3,0.0,92.0,31.0,2,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666667,2.0,1.0,13.0,3.0,1.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
14,1001294,2,4,1.0,0.42,1,0,0,7,6,3,0.0,102.0,30.0,5,0,0,1.0,1.0,0.0,0.0,0.0,0.0147058824,0.0,0.0,0.0,0.0,0.4,2.0,3.0,62.0,5.0,1.0,0.0,9.0,65.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
14,1001314,2,4,1.0,0.49,1,0,0,7,1,3,0.0,66.0,46.0,3,6,5,1.0,1.0,1.0,1.0,1.0,0.1893939394,1.0,0.0,0.0,0.0,1.0,3.0,0.0,107.0,3.0,2.0,0.0,33.0,73.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1
14,1001334,2,9,1.0,0.5,1,2,0,7,7,5,0.0,43.0,34.0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0147058824,0.0,0.0,0.0,0.0,0.4,2.0,3.0,62.0,5.0,1.0,0.0,9.0,65.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
